Name,Binomial,Venomous status,Region,Body Shape,Scales,Color,Head Shape,Fangs,Habitat,Recommended Antivenom,About This Snake
Spine-bellied Sea Snake,Hydrophis curtus,1,Andaman Islands; Tamil Nadu; Odisha; Andhra Pradesh,Muscular,Spiny,Brownish,Rounded,Hollow,Coastalwaters,Sea Snake Antivenom,A stout-bodied sea snake often found in shallow tropical marine environments.
Shaws Sea Snake,Hydrophis lapemoides,1,Gujarat; Maharashtra; Kerala; Andaman Islands,Streamlined,Granular,Yellowish,Small,Injecting,Seabeds,Sea Snake Antivenom,A venomous sea snake usually inhabiting sandy seabeds and warm coastal regions.
Short Sea Snake,Hydrophis brevis,1,Tamil Nadu; Odisha; Andhra Pradesh; Andaman Islands,Compact,Smooth,Darkgray,Blunt,Fixed,Shallows,Sea Snake Antivenom,A short-bodied marine snake adapted for life in shallow tropical ocean waters.
Olive Sea Snake,Aipysurus laevis,1,Andaman Islands; Nicobar Islands,Thickened,Glossy,Olivegreen,Bulky,Sharp,Coralreefs,Sea Snake Antivenom,A large reef-associated sea snake commonly found around coral ecosystems and lagoons.
Turtle-headed Sea Snake,Emydocephalus annulatus,1,Andaman Islands; Nicobar Islands,Rounded,Smooth,Cream,Turtlelike,Reduced,Reefs,Sea Snake Antivenom,A reef-dwelling sea snake specialized in feeding mainly on fish eggs and marine nests.
Dubois Sea Snake,Aipysurus duboisii,1,Andaman Islands; Nicobar Islands,Slender,Glossy,Tan,Curved,Potent,Coralreefs,Sea Snake Antivenom,One of the most venomous sea snakes inhabiting warm tropical reef environments.
Horned Sea Snake,Hydrophis peronii,1,Andaman Islands; Nicobar Islands,Compressed,Rough,Grayish,Horned,Hollow,Lagoons,Sea Snake Antivenom,A unique marine snake distinguished by horn-like projections above its eyes.
Dog-faced Water Snake,Cerberus rynchops,0,West Bengal; Odisha; Andhra Pradesh; Kerala; Tamil Nadu,Stout,Keeled,Brown,Doglike,Small,Mangroves,Not Applicable,A non-venomous coastal water snake commonly found in mangroves and muddy estuaries.
Bockadam,Cerberus schneiderii,0,West Bengal; Odisha; Andhra Pradesh; Gujarat,Heavy,Textured,Olivedrab,Flattened,Toothless,Swamps,Not Applicable,A mildly aggressive non-venomous water snake living near brackish wetlands and marshes.
Russells Viper,Daboia russelii,1,Punjab; Uttar Pradesh; Bihar; West Bengal; Maharashtra; Tamil Nadu; Karnataka,Bulky,Keeled,Brownish,Triangular,Long,Grasslands,Polyvalent Antivenom,A highly venomous viper responsible for many snakebite incidents across India.
Saw-scaled Viper,Echis carinatus,1,Rajasthan; Gujarat; Maharashtra; Karnataka; Tamil Nadu,Compact,Rough,Sandy,Angular,Serrated,Deserts,Polyvalent Antivenom,A small aggressive viper producing a rasping sound by rubbing its scales together.
Hump-nosed Pit Viper,Hypnale hypnale,1,Kerala; Tamil Nadu; Karnataka,Short,Ridged,Brown,Humped,Hinged,Plantations,Not Applicable,A cryptic venomous viper usually hidden among leaves in humid forested habitats.
Malabar Pit Viper,Craspedocephalus malabaricus,1,Kerala; Karnataka; Goa; Maharashtra,Robust,Granular,Green,Arrowshaped,Folded,Rainforests,Not Applicable,A colorful pit viper commonly inhabiting dense Western Ghats rainforest ecosystems.
Bamboo Pit Viper,Trimeresurus gramineus,1,Kerala; Karnataka; Tamil Nadu; Andhra Pradesh,Lean,Matte,Emerald,Broad,Curved,Bamboo,Not Applicable,An arboreal green pit viper often resting among bamboo clusters and forest vegetation.
Himalayan Pit Viper,Gloydius himalayanus,1,Jammu and Kashmir; Himachal Pradesh; Uttarakhand; Sikkim,Sturdy,Rugged,Grayish,Triangular,Hinged,Highlands,Not Applicable,A cold-climate venomous viper inhabiting rocky Himalayan mountain terrains and valleys.
Green Pit Viper,Trimeresurus erythrurus,1,Assam; Nagaland; Arunachal Pradesh; Meghalaya; Manipur,Slender,Satin,Green,Leaflike,Retractable,Forests,Not Applicable,A tree-dwelling venomous snake well-camouflaged within dense green forest vegetation.
Popes Pit Viper,Trimeresurus popeiorum,1,Arunachal Pradesh; Nagaland; Assam; Mizoram,Flexible,Keeled,Olivegreen,Pointed,Foldable,Hills,Not Applicable,A nocturnal arboreal pit viper commonly found in humid hilly forest regions.
White-lipped Pit Viper,Trimeresurus albolabris,1,Assam; Meghalaya; Tripura; Mizoram; Nagaland,Thin,Glossy,Limegreen,Rounded,Hollow,Shrubs,Not Applicable,Recognizable by its pale lips and bright green coloration in tropical vegetation.
Mountain Pit Viper,Ovophis monticola,1,Sikkim; Arunachal Pradesh; Uttarakhand; Himachal Pradesh,Heavy,Rough,Earthy,Broadheaded,Venomous,Mountains,Not Applicable,A venomous mountain-dwelling viper usually active in cool rocky forest environments.
Himalayan Green Pit Viper,Trimeresurus septentrionalis,1,Uttarakhand; Sikkim; Arunachal Pradesh; Himachal Pradesh,Slim,Keeled,Leafgreen,Triangular,Retractable,Woodlands,Not Applicable,A green arboreal pit viper adapted to cool Himalayan forest ecosystems.
Cantors Pit Viper,Cryptelytrops cantori,1,Assam; Arunachal Pradesh; Nagaland; Mizoram,Stocky,Textured,Brownish,Angular,Folded,Rainforests,Not Applicable,A cryptic venomous viper commonly hidden within dense tropical forest vegetation.
Nicobar Pit Viper,Trimeresurus labialis,1,Nicobar Islands,Compact,Granular,Darkgreen,Flattened,Hollow,Islands,Not Applicable,An endemic island pit viper inhabiting dense tropical habitats of the Nicobars.
Large-scaled Pit Viper,Peltopelor macrolepis,1,Arunachal Pradesh; Nagaland; Manipur,Robust,Enlarged,Olive,Wide,Curved,Hillsides,Not Applicable,A rare venomous viper distinguished by its unusually large body scales.
Levantine Viper,Macrovipera lebetina,1,Jammu and Kashmir; Rajasthan,Massive,Ridged,Tan,Blocky,Long,Rocklands,Polyvalent Antivenom,A heavy-bodied venomous viper adapted to dry rocky and semi-arid terrains.
Blunt-nosed Viper,Macrovipera obtusa,1,Jammu and Kashmir; Ladakh,Thick,Keeled,Gray,Triangular,Hinged,Rockylands,Polyvalent Antivenom,A heavy venomous viper inhabiting dry rocky mountain regions and arid landscapes.
Himalayan Leaf-nosed Pit Viper,Craspedocephalus trigonocephalus,1,Sikkim; Arunachal Pradesh; Uttarakhand,Flattened,Leaflike,Greenish,Leafnosed,Curved,Cloudforests,Not Applicable,A camouflaged pit viper blending efficiently within dense Himalayan forest vegetation.
Eyelash Pit Viper,Bothriechis schlegelii,1,Not Naturally Found in India,Slender,Raised,Yellow,Spiky,Hollow,Rainforests,Not Applicable,A brightly colored arboreal pit viper known for scale projections above its eyes.
Mangshan Pit Viper,Protobothrops mangshanensis,1,Not Naturally Found in India,Bulky,Rough,Patterned,Broad,Long,BambooForests,Not Applicable,A rare giant pit viper recognized for its striking camouflage and heavy build.
Red-necked Keelback Viper,Rhabdophis subminiatus,1,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Elongated,Keeled,Reddish,Narrow,Rearfanged,Wetlands,Not Applicable,A semi-aquatic rear-fanged snake identified by its distinct reddish neck markings.
Indian Rat Snake,Ptyas mucosa,0,Assam; West Bengal; Odisha; Maharashtra; Tamil Nadu; Kerala; Karnataka,Lengthy,Smooth,Olivebrown,Narrow,Small,Farmlands,Not Applicable,"A fast-moving non-venomous snake commonly found near farms, water bodies, and villages."
Trinket Snake,Coelognathus helena,0,Maharashtra; Karnataka; Tamil Nadu; Kerala; Andhra Pradesh,Slender,Glossy,Bronze,Oval,Curved,Scrublands,Not Applicable,A beautifully patterned non-venomous snake often seen in dry forest habitats.
Common Trinket Snake,Coelognathus helena helena,0,Gujarat; Rajasthan; Maharashtra; Karnataka,Flexible,Polished,Brownish,Streamlined,Toothlike,Grasslands,Not Applicable,A harmless agile snake recognized for its chain-like body markings and alert behavior.
Oriental Rat Snake,Ptyas mucosa,0,Assam; Nagaland; West Bengal; Bihar; Kerala; Tamil Nadu,Lean,Keeled,Yellowish,Pointed,Tiny,Wetlands,Not Applicable,A widespread non-venomous snake known for controlling rodent populations around human settlements.
Beauty Rat Snake,Orthriophis taeniurus,0,Assam; Arunachal Pradesh; Nagaland; Manipur,Elegant,Banded,Golden,Elongated,Sharp,Forests,Not Applicable,A colorful climbing snake admired for its striking patterns and active movement.
Copper-headed Trinket Snake,Coelognathus radiatus,0,Assam; West Bengal; Odisha; Kerala; Karnataka; Tamil Nadu,Streamlined,Satin,Copper,Arrowshaped,Small,Woodlands,Not Applicable,A swift non-venomous snake recognized by its copper-colored head and striped body.
Indian Smooth Snake,Coronella brachyura,0,Maharashtra; Gujarat; Rajasthan; Karnataka,Compact,Smooth,Graybrown,Rounded,Tiny,Shrublands,Not Applicable,A harmless secretive snake usually found beneath rocks and dry vegetation.
Green Keelback,Rhabdophis plumbicolor,0,Kerala; Karnataka; Tamil Nadu; Maharashtra,Slender,Keeled,Green,Blunt,Rearfanged,Grasslands,Not Applicable,A mildly venomous-looking but generally harmless snake commonly found near moist habitats.
Olive Keelback,Atretium schistosum,0,Tamil Nadu; Kerala; Andhra Pradesh; Odisha,Flexible,Rough,Olive,Tapered,Short,Ponds,Not Applicable,A semi-aquatic non-venomous snake often seen around ponds and marshy wetlands.
Checkered Keelback,Fowlea piscator,0,Assam; Bihar; West Bengal; Uttar Pradesh; Kerala; Tamil Nadu,Muscular,Checkered,Brown,Narrow,Toothlike,Rivers,Not Applicable,"A common water snake frequently observed near rivers, lakes, and fishing areas."
Buff-striped Keelback,Amphiesma stolatum,0,Assam; West Bengal; Odisha; Maharashtra; Tamil Nadu; Kerala,Slim,Keeled,Buff,Rounded,Small,Gardens,Not Applicable,A harmless small snake commonly seen in grassy fields and residential gardens.
Striped Keelback,Amphiesma khasiense,0,Assam; Meghalaya; Arunachal Pradesh; Nagaland,Elongated,Striped,Olivebrown,Flattened,Tiny,Streams,Not Applicable,A semi-aquatic keelback usually found near hill streams and moist forests.
Himalayan Keelback,Herpetoreas platyceps,0,Uttarakhand; Himachal Pradesh; Sikkim; Arunachal Pradesh,Flexible,Rugged,Graygreen,Broad,Tapered,Highlands,Not Applicable,A cold-region non-venomous snake adapted to rocky Himalayan environments and streams.
Mountain Keelback,Opisthotropis maculosa,0,Nagaland; Arunachal Pradesh; Meghalaya; Manipur,Compact,Textured,Darkolive,Blunt,Minute,Hillsides,Not Applicable,A secretive snake inhabiting moist mountain forests and flowing water habitats.
Assam Keelback,Hebius parallelus,0,Assam; Arunachal Pradesh; Nagaland,Lean,Parallel,Brownish,Oval,Short,Rainforests,Not Applicable,A forest-dwelling keelback commonly encountered in humid northeastern Indian habitats.
Yellow-spotted Keelback,Fowlea flavipunctatus,0,Assam; West Bengal; Odisha; Kerala,Slender,Spotted,Olivegreen,Rounded,Small,Wetlands,Not Applicable,A semi-aquatic non-venomous snake recognized by yellow spots along its body.
Red-necked Keelback,Rhabdophis subminiatus,1,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Flexible,Keeled,Reddish,Narrow,Rearfanged,Marshes,Not Applicable,A brightly marked rear-fanged snake commonly found near wetlands and forest streams.
Tiger Keelback,Rhabdophis tigrinus,1,Arunachal Pradesh; Assam; Nagaland,Robust,Banded,Orangeblack,Triangular,Grooved,Grasslands,Not Applicable,A venomous keelback displaying tiger-like patterns and defensive neck coloration.
Green Vine Snake,Ahaetulla nasuta,0,Kerala; Karnataka; Tamil Nadu; Goa; Maharashtra,Threadlike,Smooth,Green,Pointed,Rearward,Trees,Not Applicable,A slender arboreal snake using camouflage to blend among leaves and branches.
Brown Vine Snake,Ahaetulla pulverulenta,0,Kerala; Karnataka; Tamil Nadu,Whiplike,Matte,Brown,Elongated,Tiny,Canopies,Not Applicable,A tree-dwelling snake adapted for camouflage within dry branches and forest vegetation.
Long-nosed Vine Snake,Ahaetulla oxyrhyncha,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Needlelike,Smooth,Leafgreen,Longsnouted,Rearward,Canopies,Not Applicable,An arboreal snake with an extended snout specialized for camouflage among foliage.
Common Bronzeback Tree Snake,Dendrelaphis tristis,0,Maharashtra; Karnataka; Kerala; Tamil Nadu; Odisha,Slender,Glossy,Bronze,Oval,Small,Trees,Not Applicable,A fast-moving tree snake commonly seen gliding across branches and shrubs.
Painted Bronzeback,Dendrelaphis pictus,0,Assam; West Bengal; Odisha; Kerala; Karnataka,Streamlined,Striped,Goldenbrown,Pointed,Tiny,Forests,Not Applicable,"A colorful agile tree snake inhabiting forests, gardens, and tropical vegetation."
Green Bronzeback,Dendrelaphis formosus,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Flexible,Satin,Greenish,Narrow,Sharp,Rainforests,Not Applicable,A slender arboreal snake active during daytime in dense humid forests.
Andaman Bronzeback,Dendrelaphis andamanensis,0,Andaman Islands,Lean,Polished,Olivebrown,Rounded,Minute,Woodlands,Not Applicable,An island tree snake endemic to the tropical forests of the Andaman Islands.
Black-headed Royal Snake,Spalerosophis atriceps,0,Rajasthan; Gujarat; Punjab; Haryana,Robust,Smooth,Tan,Blackheaded,Small,Deserts,Not Applicable,A non-venomous royal snake adapted to dry plains and semi-arid habitats.
Indian Egg-eating Snake,Elachistodon westermanni,0,Maharashtra; Madhya Pradesh; Odisha; Bihar,Slender,Flexible,Brownish,Narrow,Toothless,Scrublands,Not Applicable,A rare harmless snake specialized in feeding exclusively on bird eggs.
Indian Wolf Snake,Lycodon aulicus,0,Assam; West Bengal; Maharashtra; Kerala; Tamil Nadu,Cylindrical,Glossy,Blackwhite,Flattened,Sharp,Houses,Not Applicable,A nocturnal non-venomous snake often mistaken for kraits near human settlements.
Barred Wolf Snake,Lycodon striatus,0,Gujarat; Rajasthan; Maharashtra; Karnataka,Slim,Banded,Graybrown,Oval,Tiny,Grasslands,Not Applicable,A harmless night-active snake recognized by its barred body pattern and secretive habits.
Travancore Wolf Snake,Lycodon travancoricus,0,Kerala; Karnataka; Tamil Nadu,Compact,Satin,Darkbrown,Blunt,Minute,Rainforests,Not Applicable,A forest-dwelling wolf snake commonly found in moist Western Ghats habitats.
Common Cat Snake,Boiga trigonata,0,Rajasthan; Gujarat; Maharashtra; Karnataka; Tamil Nadu,Slender,Keeled,Brownish,Triangular,Rearfanged,Shrublands,Not Applicable,A nocturnal mildly venomous tree snake recognized by its cat-like vertical pupils.
Beddomes Cat Snake,Boiga beddomei,0,Kerala; Karnataka; Tamil Nadu,Flexible,Glossy,Chestnut,Oval,Curved,Rainforests,Not Applicable,A secretive arboreal snake commonly inhabiting dense Western Ghats forests.
Forstens Cat Snake,Boiga forsteni,0,Assam; Odisha; Kerala; Karnataka; Tamil Nadu,Elongated,Smooth,Olivebrown,Broad,Sharp,Woodlands,Not Applicable,A large climbing snake active mostly at night within forested habitats.
Mountain Cat Snake,Boiga multifasciata,0,Arunachal Pradesh; Nagaland; Meghalaya; Sikkim,Lean,Banded,Grayish,Flattened,Hooked,Hills,Not Applicable,A cool-region arboreal snake usually found in hilly forests and rocky vegetation.
Andaman Cat Snake,Boiga andamanensis,0,Andaman Islands,Slim,Polished,Darkolive,Rounded,Tiny,Tropicalforests,Not Applicable,An endemic island cat snake adapted to humid tropical forest environments.
Common Kukri Snake,Oligodon arnensis,0,Assam; West Bengal; Maharashtra; Karnataka; Tamil Nadu,Compact,Smooth,Brown,Narrow,Bladelike,Farmlands,Not Applicable,A harmless ground snake named after its curved kukri-shaped rear teeth.
Banded Kukri Snake,Oligodon taeniolatus,0,Rajasthan; Gujarat; Maharashtra; Karnataka,Slender,Banded,Tan,Rounded,Sharp,Scrublands,Not Applicable,A small nocturnal snake recognized by dark bands across its body.
Ocellated Kukri Snake,Oligodon ocellatus,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Flexible,Spotted,Olive,Flattened,Curved,Forests,Not Applicable,A secretive kukri snake displaying eye-like markings along its patterned body.
Coral Kukri Snake,Oligodon kheriensis,0,Uttar Pradesh; Bihar; West Bengal; Assam,Lean,Glossy,Coralred,Pointed,Tiny,Grasslands,Not Applicable,A brightly colored kukri snake inhabiting moist grasslands and forest edges.
Streaked Kukri Snake,Oligodon dorsalis,0,Kerala; Karnataka; Tamil Nadu; Goa,Threadlike,Striped,Bronzebrown,Oval,Minute,Leaflitter,Not Applicable,A tiny forest-floor snake commonly hidden beneath leaves and loose soil.
Black Kukri Snake,Oligodon melaneus,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Slim,Glossy,Black,Rounded,Bladelike,Forests,Not Applicable,A dark-colored kukri snake usually active during nighttime within humid forest habitats.
Olive Kukri Snake,Oligodon cyclurus,0,West Bengal; Odisha; Assam; Kerala,Flexible,Smooth,Olive,Pointed,Curved,Shrublands,Not Applicable,A harmless nocturnal snake commonly found near bushes and forest undergrowth.
Common Mock Viper,Psammodynastes pulverulentus,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Short,Rough,Brownish,Triangular,Rearward,Rainforests,Not Applicable,A small snake mimicking vipers through defensive posture and triangular head appearance.
Glossy Marsh Snake,Xenochrophis cerasogaster,0,Assam; West Bengal; Odisha; Bihar,Elongated,Shiny,Darkolive,Narrow,Small,Marshes,Not Applicable,"A semi-aquatic snake inhabiting marshlands, ponds, and slow-moving freshwater habitats."
Indian Water Snake,Fowlea piscator,0,Assam; Uttar Pradesh; Bihar; Kerala; Tamil Nadu,Muscular,Keeled,Checkered,Flattened,Toothlike,Rivers,Not Applicable,"A common freshwater snake frequently seen swimming near lakes, rivers, and wetlands."
Rainbow Water Snake,Enhydris enhydris,0,West Bengal; Odisha; Assam; Kerala,Slender,Iridescent,Rainbow,Narrow,Small,Swamps,Not Applicable,A semi-aquatic snake displaying subtle rainbow-like sheen under sunlight near wetlands.
Asiatic Water Snake,Fowlea asperrima,0,Assam; Arunachal Pradesh; Nagaland; Meghalaya,Flexible,Rough,Olivebrown,Rounded,Tiny,Streams,Not Applicable,A freshwater snake commonly found around hill streams and marshy environments.
Fishing Snake,Xenochrophis piscator,0,Uttar Pradesh; Bihar; West Bengal; Tamil Nadu; Kerala,Muscular,Keeled,Browncheckered,Flattened,Sharp,Lakes,Not Applicable,A strong swimming snake often hunting fish and amphibians in freshwater habitats.
Smooth Water Snake,Enhydris plumbea,0,Odisha; Andhra Pradesh; Tamil Nadu; Kerala,Compact,Smooth,Graybrown,Blunt,Minute,Ponds,Not Applicable,"A harmless aquatic snake inhabiting ponds, marshes, and slow-moving waters."
Black-headed Snake,Sibynophis subpunctatus,0,Kerala; Karnataka; Tamil Nadu; Goa,Lean,Polished,Yellowish,Blackheaded,Toothlike,Leaflitter,Not Applicable,A small non-venomous snake usually hidden beneath forest leaves and loose soil.
Indian Rock Python,Python molurus,0,Assam; West Bengal; Odisha; Maharashtra; Kerala; Karnataka; Tamil Nadu,Massive,Rough,Brownpatterned,Broad,Recurved,Grasslands,Not Applicable,"A large constrictor commonly inhabiting forests, wetlands, and rocky terrains across India."
Burmese Python,Python bivittatus,0,Assam; Arunachal Pradesh; Nagaland; Manipur,Bulky,Glossy,Tanpatterned,Triangular,Hooked,Swamps,Not Applicable,A giant non-venomous python often found near marshes and tropical forests.
Reticulated Python,Malayopython reticulatus,0,Nicobar Islands,Lengthy,Netpatterned,Goldenbrown,Elongated,Sharp,Rainforests,Not Applicable,The world's longest snake species known for its intricate net-like body patterns.
Ball Python,Python regius,0,Not Naturally Found in India,Compact,Smooth,Darkbrown,Rounded,Small,Savannas,Not Applicable,A docile python famous for curling into a tight defensive ball posture.
Sand Boa,Eryx conicus,0,Rajasthan; Gujarat; Maharashtra; Karnataka; Tamil Nadu,Stout,Keeled,Sandy,Blunt,Tiny,Deserts,Not Applicable,A burrowing non-venomous snake adapted for dry sandy and loose-soil habitats.
Red Sand Boa,Eryx johnii,0,Maharashtra; Gujarat; Rajasthan; Karnataka; Andhra Pradesh,Thick,Smooth,Reddish,Flattened,Minute,Scrublands,Not Applicable,A heavy-bodied burrowing snake popularly known for its reddish-brown coloration.
Rough-scaled Sand Boa,Eryx conicus,0,Punjab; Haryana; Rajasthan; Gujarat,Robust,Rough,Brown,Narrow,Small,Aridlands,Not Applicable,A nocturnal sand boa specialized for burrowing through loose dry soil.
Common Sand Boa,Gongylophis conicus,0,Maharashtra; Rajasthan; Gujarat; Tamil Nadu,Compact,Textured,Olivebrown,Short,Toothlike,Farmlands,Not Applicable,A harmless ground-dwelling boa often hidden beneath rocks and dry vegetation.
Arabian Sand Boa,Eryx jayakari,0,Not Naturally Found in India,Cylindrical,Granular,Yellowbrown,Spadelike,Tiny,Deserts,Not Applicable,A desert-adapted burrowing boa commonly inhabiting sandy Middle Eastern environments.
Dumerils Boa,Acrantophis dumerili,0,Not Naturally Found in India,Heavy,Satin,Brownblack,Wide,Curved,Dryforests,Not Applicable,A large constrictor native to Madagascar with excellent camouflage patterns.
Rubber Boa,Charina bottae,0,Not Naturally Found in India,Stubby,Rubbery,Tan,Blunt,Minute,Woodlands,Not Applicable,A slow-moving boa recognized for its smooth rubber-like skin texture and gentle nature.
Rosy Boa,Lichanura trivirgata,0,Not Naturally Found in India,Compact,Smooth,Rosy,Rounded,Small,Rocklands,Not Applicable,A colorful non-venomous boa commonly inhabiting rocky desert and scrub environments.
Madurai Shieldtail,Uropeltis madurensis,0,Tamil Nadu,Cylindrical,Smooth,Darkbrown,Rounded,Tiny,Underground,Not Applicable,A burrowing shieldtail snake endemic to the forested hills near Madurai.
Travancore Shieldtail,Uropeltis travancoricus,0,Kerala; Tamil Nadu,Compact,Glossy,Purplish,Blunt,Minute,Leaflitter,Not Applicable,A secretive underground snake inhabiting moist forests of the southern Western Ghats.
Kerala Shieldtail,Uropeltis liura,0,Kerala,Stubby,Polished,Blackish,Flattened,Small,Rainforests,Not Applicable,An endemic shieldtail snake adapted for burrowing in wet tropical soils.
Black Shieldtail,Uropeltis nigra,0,Tamil Nadu; Kerala,Short,Satin,Black,Oval,Tiny,Hillsides,Not Applicable,A dark-colored fossorial snake commonly found beneath loose forest soil.
Striped Shieldtail,Uropeltis macrorhyncha,0,Kerala; Tamil Nadu,Flexible,Striped,Brownish,Pointed,Minute,Woodlands,Not Applicable,A small burrowing snake distinguished by faint longitudinal body stripes.
Kolli Hills Shieldtail,Uropeltis shorttii,0,Tamil Nadu,Robust,Textured,Graybrown,Rounded,Small,Mountains,Not Applicable,A rare endemic shieldtail inhabiting the rocky forests of Kolli Hills.
Nilgiri Shieldtail,Uropeltis ocellata,0,Tamil Nadu; Kerala,Slender,Smooth,Oliveblack,Blunt,Tiny,Grasslands,Not Applicable,A fossorial snake native to high-elevation Nilgiri grasslands and forests.
